Aantal tarief eenheden,Voltarief incl. 9% btw,20% korting incl. 9% btw,40% korting incl. 9% btw
0,2.6,2.08,1.56,
1,2.6,2.08,1.56,
2,2.6,2.08,1.56,
3,2.6,2.08,1.56,
4,2.6,2.08,1.56,
5,2.6,2.08,1.56,
6,2.6,2.08,1.56,
7,2.6,2.08,1.56,
8,2.6,2.08,1.56,
9,2.9,2.32,1.74,
10,3.1,2.48,1.86,
11,3.3,2.64,1.98,
12,3.5,2.8,2.1,
13,3.7,2.96,2.22,
14,3.9,3.12,2.34,
15,4.1,3.28,2.46,
16,4.3,3.44,2.58,
17,4.5,3.6,2.7,
18,4.7,3.76,2.82,
19,4.9,3.92,2.94,
20,5.1,4.08,3.06,
21,5.3,4.24,3.18,
22,5.5,4.4,3.3,
23,5.7,4.56,3.42,
24,5.9,4.72,3.54,
25,6.1,4.88,3.66,
26,6.3,5.04,3.78,
27,6.5,5.2,3.9,
28,6.7,5.36,4.02,
29,6.9,5.52,4.14,
30,7.1,5.68,4.26,
31,7.3,5.84,4.38,
32,7.5,6,4.5,
33,7.7,6.16,4.62,
34,7.9,6.32,4.74,
35,8.1,6.48,4.86,
36,8.3,6.64,4.98,
37,8.5,6.8,5.1,
38,8.7,6.96,5.22,
39,8.8,7.04,5.28,
40,9,7.2,5.4,
41,9.2,7.36,5.52,
42,9.4,7.52,5.64,
43,9.6,7.68,5.76,
44,9.8,7.84,5.88,
45,10,8,6,
46,10.2,8.16,6.12,
47,10.4,8.32,6.24,
48,10.6,8.48,6.36,
49,10.8,8.64,6.48,
50,11,8.8,6.6,
51,11.2,8.96,6.72,
52,11.4,9.12,6.84,
53,11.6,9.28,6.96,
54,11.8,9.44,7.08,
55,12,9.6,7.2,
56,12.2,9.76,7.32,
57,12.4,9.92,7.44,
58,12.6,10.08,7.56,
59,12.8,10.24,7.68,
60,13,10.4,7.8,
61,13.2,10.56,7.92,
62,13.4,10.72,8.04,
63,13.6,10.88,8.16,
64,13.8,11.04,8.28,
65,14,11.2,8.4,
66,14.3,11.44,8.58,
67,14.5,11.6,8.7,
68,14.7,11.76,8.82,
69,14.8,11.84,8.88,
70,14.9,11.92,8.94,
71,15.1,12.08,9.06,
72,15.3,12.24,9.18,
73,15.5,12.4,9.3,
74,15.7,12.56,9.42,
75,15.9,12.72,9.54,
76,16.1,12.88,9.66,
77,16.3,13.04,9.78,
78,16.5,13.2,9.9,
79,16.7,13.36,10.02,
80,16.9,13.52,10.14,
81,17,13.6,10.2,
82,17.2,13.76,10.32,
83,17.4,13.92,10.44,
84,17.5,14,10.5,
85,17.7,14.16,10.62,
86,17.9,14.32,10.74,
87,18,14.4,10.8,
88,18.2,14.56,10.92,
89,18.4,14.72,11.04,
90,18.5,14.8,11.1,
91,18.7,14.96,11.22,
92,18.8,15.04,11.28,
93,19,15.2,11.4,
94,19.1,15.28,11.46,
95,19.3,15.44,11.58,
96,19.4,15.52,11.64,
97,19.6,15.68,11.76,
98,19.7,15.76,11.82,
99,19.9,15.92,11.94,
100,20,16,12,
101,20.2,16.16,12.12,
102,20.3,16.24,12.18,
103,20.4,16.32,12.24,
104,20.6,16.48,12.36,
105,20.7,16.56,12.42,
106,20.9,16.72,12.54,
107,21,16.8,12.6,
108,21.1,16.88,12.66,
109,21.3,17.04,12.78,
110,21.4,17.12,12.84,
111,21.6,17.28,12.96,
112,21.7,17.36,13.02,
113,21.8,17.44,13.08,
114,22,17.6,13.2,
115,22.1,17.68,13.26,
116,22.2,17.76,13.32,
117,22.4,17.92,13.44,
118,22.5,18,13.5,
119,22.7,18.16,13.62,
120,22.8,18.24,13.68,
121,22.9,18.32,13.74,
122,23,18.4,13.8,
123,23.1,18.48,13.86,
124,23.2,18.56,13.92,
125,23.2,18.56,13.92,
126,23.3,18.64,13.98,
127,23.4,18.72,14.04,
128,23.5,18.8,14.1,
129,23.6,18.88,14.16,
130,23.7,18.96,14.22,
131,23.8,19.04,14.28,
132,23.9,19.12,14.34,
133,24,19.2,14.4,
134,24,19.2,14.4,
135,24.1,19.28,14.46,
136,24.2,19.36,14.52,
137,24.3,19.44,14.58,
138,24.4,19.52,14.64,
139,24.5,19.6,14.7,
140,24.6,19.68,14.76,
141,24.7,19.76,14.82,
142,24.8,19.84,14.88,
143,24.8,19.84,14.88,
144,24.9,19.92,14.94,
145,25,20,15,
146,25.1,20.08,15.06,
147,25.2,20.16,15.12,
148,25.3,20.24,15.18,
149,25.4,20.32,15.24,
150,25.5,20.4,15.3,
151,25.6,20.48,15.36,
152,25.6,20.48,15.36,
153,25.7,20.56,15.42,
154,25.8,20.64,15.48,
155,25.9,20.72,15.54,
156,25.9,20.72,15.54,
157,26,20.8,15.6,
158,26.1,20.88,15.66,
159,26.2,20.96,15.72,
160,26.3,21.04,15.78,
161,26.3,21.04,15.78,
162,26.4,21.12,15.84,
163,26.5,21.2,15.9,
164,26.6,21.28,15.96,
165,26.7,21.36,16.02,
166,26.7,21.36,16.02,
167,26.8,21.44,16.08,
168,26.9,21.52,16.14,
169,27,21.6,16.2,
170,27.1,21.68,16.26,
171,27.1,21.68,16.26,
172,27.2,21.76,16.32,
173,27.3,21.84,16.38,
174,27.4,21.92,16.44,
175,27.5,22,16.5,
176,27.5,22,16.5,
177,27.6,22.08,16.56,
178,27.7,22.16,16.62,
179,27.8,22.24,16.68,
180,27.8,22.24,16.68,
181,27.9,22.32,16.74,
182,28,22.4,16.8,
183,28.1,22.48,16.86,
184,28.2,22.56,16.92,
185,28.2,22.56,16.92,
186,28.3,22.64,16.98,
187,28.4,22.72,17.04,
188,28.5,22.8,17.1,
189,28.6,22.88,17.16,
190,28.6,22.88,17.16,
191,28.7,22.96,17.22,
192,28.8,23.04,17.28,
193,28.9,23.12,17.34,
194,29,23.2,17.4,
195,29,23.2,17.4,
196,29.1,23.28,17.46,
197,29.2,23.36,17.52,
198,29.3,23.44,17.58,
199,29.4,23.52,17.64,
200,29.4,23.52,17.64,
